ArtistID,ArtistName
950,"The 4 Seasons 
1133,The Ronettes 
396,Mr. Big
52,The Reflections
2213,Flatt 
356,The Lady Of Rage
226,Tyler Farr
36,The Monkees
4033,Dionne 
1767,Randy Meisner
672,Chilliwack
131,ScHoolboy Q
94,Rich Homie Quan
624,Cause And Effect
8,Paul Anka
1153,BTS 
2412,Alabama 
888,John Michael Montgomery
187,Maren Morris
2095,Sweetbox
3505,Bardeux
541,Kris Kross 
9,The Olympics
1795,Tony! Toni! Tone!
111,The Crests
10,'Til Tuesday
585,Pure Prairie League
41,Bill Medley 
2045,Samantha Sang
824,Inner Circle
1926,M2M
385,Jaheim
2666,Billy Gibbons
20,Ramrods
2567,Yanou 
925,Bazzi 
332,Bruce Hornsby 
4567,The Pastel Six
233,Carol Douglas
2936,Cassidy
486,O-Town
573,Dave Matthews Band
11,Bobby Moore
1271,B*Witched
334,YG
1936,Larry Lee
12,Jermaine Jackson
280,Johnny Guitar Watson
61,Cat Stevens
291,Denny Reed
44,Celine Dion
1837,Samantha Fox
101,Missy Elliott
1280,Enur 
1176,The Stylistics
1205,Echosmith
370,Fetty Wap
3920,Brian Protheroe
919,The Afters
1095,Anita Baker
13,Chubby Checker
668,So
613,Tammy Cochran
1501,David Guetta
1521,Snoop Dogg
1581,The Highwaymen
63,KC And The Sunshine Band
3323,Billy Dean
1151,Tia
1013,Joni Mitchell
4519,Double Exposure
14,Reel Tight
29,Shaquille O'Neal
180,Love
4765,Spragga Benz
49,Joey Vann
3500,Waylon Jennings 
2010,Zayn 
3451,MFSB 
526,Dave Edmunds
15,Blue Oyster Cult
2017,Lil Dicky
329,Buck 22 
58,Elvis Presley
986,Leona Lewis
1978,Neil Patrick Harris
21,Eddie Hodges
975,The Persuaders
4561,Porter Wagoner
1789,Shawty Lo
3985,M/A/R/R/S
2554,Olly Murs 
1602,Johnny Preston
1233,Dunn With Sheryl Crow 
781,The Foundations
3002,June Carter
1496,Tegan And Sara
16,Curtis Mayfield
85,Sean Paul 
1414,The Champs
17,Dr. John
3142,Sonny James
1138,Too $hort
133,Kevin Gates
393,Miki Howard
138,Green Day
18,The Chi-lites
1702,Steve Arrington
205,Deryl Dodd
19,Outlaws
3350,Mono
578,Cashman 
22,The Fleetwoods
4583,Tony And Joe
2976,Jermaine Dupri
3081,Sevyn Streeter 
341,Simple Plan
57,The Fantastics
3374,Taio Cruz 
1808,Incubus
1323,Lil' Kim
54,Gloriana
1269,The Beaver Brown Band
1121,Roger
4961,C.C.S.
2198,Mad Cobra
23,Jackie Wilson
3849,Margaret Whiting
197,Garland Jeffreys
2115,Tom MacDonald
426,Meghan Trainor
974,Jimmie Allen
3536,Lou Bega
3039,Musique
1234,Shinedown
24,Barbara Mason
2444,Boy Krazy
859,Lil Wayne 
281,Tommy Page
500,Maino 
524,Ben Colder
726,Pitbull
25,Skeeter Davis
2431,Lizzo
4986,Lila McCann
1063,Ronnie Dunn
4676,Jimmy Roselli
3332,The Three G's
1242,Vitamin Z
141,9lokknine
4078,Mickey Gilley
27,Bobby Freeman
71,The Newbeats
1675,Shep And The Limelites
1479,Dean
198,Nena
3089,Leah Andreone
1579,Al Hirt
2033,Nicky Jam
264,James Carr
1903,The Band Perry
30,Martina McBride
635,Brady Seals
1224,Ashley Monroe
451,Mike + The Mechanics
3772,Nate Dogg 
2914,Curtis Stigers
31,Vanity Fare
3587,Geto Boys
4050,The Devotions
53,Sha Na Na
2663,Narvel Felts
4340,Batdorf 
32,Gene Pitney
3729,Killer Mike 
4280,Huey Lewis 
115,Phoenix
33,The Parliaments
3360,For Real
3948,Casey Kelly
152,The Shirelles
3791,Lena Horne
926,Beverly McClellan
2706,Loon 
894,Alice Cooper
2225,T.O.K.
822,Marty Wilde
35,Gene Chandler
4164,Zemya Hamilton
1253,The Soul Searchers
37,Charley Pride
3220,Jinny
45,Mac Davis
4330,Puff Daddy)
260,Ray Stevens
2177,The Nashville Teens
2059,Robert Hazard
38,Chicago
996,Jimmy Dean
2141,P!nk 
3287,Down A.K.A. Kilo
4052,Percy Mayfield
458,Mariah Carey
3541,Kenny Ball and his Jazzmen
93,Goody Goody
976,Playboy Tre
39,Little Willie John
3554,De La Soul
3591,Curiosity Killed The Cat
3909,Placido Domingo 
1752,The Springfields
786,Syl Johnson
3841,LaTocha Scott
59,Van Halen
4912,Etta Jones
1273,Eddie Cochran
40,Jennifer Warnes
267,Cubie
55,The 5th Dimension
3444,Laban
1431,David Cassidy
99,Brooks 
1652,Twista
1277,Spyro Gyra
43,Luther Ingram
1931,The Black Eyed Peas
2180,Hank Ballard And The Midnighters
46,The Drifters
1606,Savage Garden
3475,Chambers Brothers
1754,Larry Finnegan
1838,Joe Public
499,T-Pain
454,Tony Sunshine 
581,Toby Keith
48,Chuck Jackson
2819,Kenny Nolan
1825,Peoples Choice
1735,Isyss 
272,Shalamar
1094,Marcie Blane
50,The Duprees 
2004,Mitchell Tenpenny
502,The Firm
360,Maggie Bell
868,AJR
170,Yo Gotti
1428,OMI
625,Real McCoy
3483,The Dillman Band
4894,Ellen Foley
56,The Intruders
399,John Davis And The Monster Orchestra
4306,Hawkshaw Hawkins
60,Dean Martin
1845,Shannon
1434,Addrisi Brothers
480,Changing Faces (
1105,Panic! At The Disco
2306,The Three Degrees
337,"Evelyn ""Champagne"" King"
3249,Amii Stewart
606,Shelby Flint
985,Melissa Manchester
255,Change
3042,Spacehog
1593,George Jones 
284,Coldplay
62,Roy Orbison
64,All-4-One
